name,length,notes,title,author,original_author
Ao no Sumika (Jujutsu Kaisen) - noteblocc.nbs,1:25,8905,Ao no Sumika (Jujutsu Kaisen),noteblocc,Tatsuya Kitani
Beepy Blocks (DiamondFire Battle Box) - superbaconbro.nbs,2:07,9461,Beepy Blocks (DiamondFire Battle Box),superbaconbro,
Boss Battle 3o - StunningWheel94.nbs,1:03,3776,Boss Battle 3o,StunningWheel94,
Bubblegum K.K. (Animal Crossing) - NoteBlockMatt.nbs,2:54,7359,Bubblegum K.K. (Animal Crossing),NoteBlockMatt,Atsuko Asahi
Bundle of Joy (Inside Out) - NoteBlockMatt.nbs,2:27,10555,Bundle of Joy (Inside Out),NoteBlockMatt,Michael Giacchino
Crazy Dave (Plants vs. Zombies) - KosterMoltas.nbs,1:25,1168,Crazy Dave (Intro Theme) - Plants vs. Zombies,KosterMoltas,Laura Shigihara
Defenders Theme - Overgrown Temple (Defenders II) - superbaconbro.nbs,2:22,7086,Defenders Theme - Overgrown Temple (Defenders II),superbaconbro,
Everybody Falls (Fall Guys Theme) - Bentroen.nbs,3:26,19424,Everybody Falls (Fall Guys Theme),Bentroen,Jukio Kallio
GenerationNebula - PlayfulPotato.nbs,1:59,7017,GenerationNebula,PlayfulPotato,
Grogg Mayles (Sea of Thieves) - StunningWheel94.nbs,1:40,5807,Grogg Mayles (Sea of Thieves),StunningWheel94,Robin Beanland
Jigsaw Falling Into Place (Radiohead) - encode42.nbs,3:55,20478,Jigsaw Falling Into Place,encode42,Radiohead
Mario's Cement Factory Modern (Game & Watch Gallery 4) - superbaconbro.nbs,1:16,6577,Mario's Cement Factory Modern (Game & Watch Gallery 4),superbaconbro,Riyou Kinugasa; Kengo Hagiwara
Metropolis of Illusion - Vizeon.nbs,4:06,40083,Metropolis of Illusion,Vizeon,
Micro-Rave - KaliumI.nbs,2:12,9584,Micro-Rave,KaliumI,
My Castle Town (Deltarune) - encode42.nbs,1:55,8242,My Castle Town (Deltarune),encode42,Toby Fox
Overworld Theme (New Super Mario Bros.) - KosterMoltas.nbs,1:51,3680,Overworld Theme (New Super Mario Bros.),KosterMoltas,Koji Kondo
Pest of the Cosmos (Terraria Calamity) - tehbigmac.nbs,3:35,31410,Pest of the Cosmos (Terraria Calamity),tehbigmac,DM DOKURO
Remix 10 (Super Mario Run) - Bentroen.nbs,3:45,18821,Remix 10 (Super Mario Run),Bentroen,Kenta Nagata
Resurrections (Celeste) - encode42.nbs,4:42,14140,Resurrections (Celeste),encode42,Lena Raine
Ruins (Undertale) - KaliumI.nbs,1:23,2400,Ruins (Undertale),KaliumI,Toby Fox
Ruins (Undertale) - NoteBlockMatt.nbs,1:23,5734,Ruins (Undertale),NoteBlockMatt,Toby Fox
Ryusenkei Mayday (Dropkick on My Devil! X) - ShinkoNet.nbs,1:32,6133,Ryusenkei Mayday (Dropkick on My Devil! X),ShinkoNet,HiFi-P
Say It Ain't So (Weezer) - PScoutGaming.nbs,4:14,3944,Say It Ain't So,PScoutGaming,Weezer
SMILER (Item Asylum) - KaliumI.nbs,2:01,11914,SMILER (Item Asylum),KaliumI,Aden Mayo
Spider Girl (Shadrow) - KosterMoltas.nbs,5:32,7675,Spider Girl,KosterMoltas,Shadrow
The Notes of No Return - StunningWheel94.nbs,1:10,2839,The Notes of No Return,StunningWheel94,
Thriller (Michael Jackson) - Bentroen.nbs,3:03,14214,Thriller,Bentroen,Michael Jackson
We Didn't Start the Fire (Billy Joel) - PScoutGaming.nbs,4:39,8569,We Didn't Start the Fire,PScoutGaming,Billy Joel
[TOTAL],73:15,296995,,,
